Cluster,N_Trials,Mean_RT,IMAG,CNC,ANIM,AoA,FAM,VAL,AROU,DOM,SIZE,GEND,MANI
0,205,0.7554812490267853,-0.010124912190243909,0.0023744098634146545,-0.1045339567073171,,-0.03709297891219511,-0.009052836497560947,-0.046153352604878045,-0.037601541156097526,0.005423335741463414,0.0140220111365853,-0.022506906034146366
1,114,0.8056715999985427,-0.03821829220175435,-0.08080381865789472,-0.029165780736842086,,0.100349082622807,0.24232978919298254,0.13678254960526318,0.15964481572807013,0.17990594820175435,-0.004879729824561392,0.06946353288596492
2,73,0.7766303287640418,-0.17540494060273973,-0.161049227,0.10749468402739724,,-0.09429520873972601,-0.07819286478082191,-0.058429280876712335,0.01804223426027399,-0.07986528616438356,-0.015629405205479452,-0.0007660029315068504
3,73,0.791258741104784,0.014761302767123317,-0.11774225534246577,-0.005050129356164401,,0.23214850380821922,0.03187406278082189,0.1417675397671233,-0.009506590191780814,0.03696953923287672,-0.04249860615068493,0.08230882556164384
4,84,0.737650713096151,-0.12044708292857143,0.0021791474285714194,-0.03388870663095237,,-0.17810947070238092,-0.17726134279761907,-0.10389008011904759,-0.10079563394047623,-0.2545908040476192,0.001194364285714285,-0.14075037827380948
5,135,0.8018743703702327,0.21360571069629633,0.17962587334814814,0.0466460637111111,,0.14480116790370373,-0.03656386550370368,-0.02258214860740737,0.006123961096296293,0.06782492285925924,0.022256328059259263,0.07039565051111112
